,發生時間,死亡受傷人數,車種,經度,緯度
0,108年01月01日 00時01分00秒,死亡0;受傷1,自用-小客車;自用-小客車;計程車-小客車,120.301476,22.627316
1,108年01月01日 00時09分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人;乘客-人,121.419767,24.960238
2,108年01月01日 00時09分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.516149,25.01549
3,108年01月01日 00時10分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,120.391028,22.632268
4,108年01月01日 00時16分05秒,死亡0;受傷1,普通重型-機車;行人-人,121.200598,24.703556
5,108年01月01日 00時17分00秒,死亡0;受傷1,自用-小客車;自用-小貨車(含客、貨兩用),120.676001,24.076262
6,108年01月01日 00時18分57秒,死亡0;受傷1,自用-小客車,121.318176,25.017011
7,108年01月01日 00時20分00秒,死亡0;受傷1,租賃車-小客車;普通重型-機車,121.149258,22.757846
8,108年01月01日 00時21分48秒,死亡0;受傷2,普通重型-機車;乘客-人,120.372027,22.352679000000002
9,108年01月01日 00時25分00秒,死亡0;受傷5,普通重型-機車;普通重型-機車;行人-人;乘客-人;乘客-人,121.19089699999999,24.925995
10,108年01月01日 00時25分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,121.42666100000001,25.021796
11,108年01月01日 00時26分00秒,死亡0;受傷2,普通重型-機車;乘客-人,120.998962,24.857281
12,108年01月01日 00時27分00秒,死亡0;受傷1,普通重型-機車;自用-小客車;乘客-人,120.610074,24.238069
13,108年01月01日 00時28分00秒,死亡0;受傷4,普通重型-機車;普通重型-機車;乘客-人;乘客-人,120.293706,22.624506
14,108年01月01日 00時29分00秒,死亡0;受傷1,自用-小客車;普通重型-機車,120.3917,22.56172
15,108年01月01日 00時30分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,118.33711000000001,24.444785
16,108年01月01日 00時30分00秒,死亡0;受傷1,普通重型-機車;自用-小客車,121.338421,24.995356
17,108年01月01日 00時30分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車,120.3647,22.69975
18,108年01月01日 00時30分00秒,死亡0;受傷1,普通輕型-機車;自用-小貨車(含客、貨兩用),121.523871,24.996436
19,108年01月01日 00時30分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;自用-小客車,121.519204,24.989794
20,108年01月01日 00時35分00秒,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,120.55956299999998,23.61897
